FIPS,E_TOTPOP,E_AGE65,E_AGE17,acc_hospital_clinic,drop_hospital_clinic,droppct_hospital_clinic,acc_residential_elderly_disabled,drop_residential_elderly_disabled,droppct_residential_elderly_disabled,acc_childcare_center,drop_childcare_center,droppct_childcare_center,acc_school,drop_school,droppct_school
06001421400,1638.0,650.0,234.0,0.012717341675918693,0.0,0.0,0.0846111369894467,0.0,0.0,0.22065962605335404,0.0,0.0,0.0015119642835490041,0.0,0.0
06001421500,4064.0,1082.0,637.0,0.012701994920608833,0.0,0.0,0.08551880485632367,0.0,0.0,0.20402936934144755,0.0,0.0,0.00143642803884952,0.0,0.0
06001421600,3854.0,981.0,621.0,0.012739182644574366,0.0,0.0,0.08571538425193419,0.0,0.0,0.21726543517951752,0.0,0.0,0.0014552223038087062,0.0,0.0
06001421700,3421.0,867.0,445.0,0.012746854831956964,0.0,0.0,0.08461015416263191,0.0,0.0,0.23217691256151926,0.0,0.0,0.0015288035570716304,0.0,0.0
06001421800,2260.0,499.0,353.0,0.012744047965782889,0.0,0.0,0.08388482530502228,0.0,0.0,0.23521081700123553,0.0,0.0,0.0015572270751160232,0.0,0.0
06001421900,4141.0,703.0,860.0,0.012722798323321597,0.0,0.0,0.0826726948345196,0.0,0.0,0.23341634956860033,0.0,0.0,0.0015708609781732046,0.0,0.0
06001422000,2453.0,409.0,291.0,0.012754208481254336,0.0,0.0,0.0806817404662502,0.0,0.0,0.22016842234529718,0.0,0.0,0.0015501383782082108,0.0,0.0
06001422100,3200.0,587.0,528.0,0.012724997042256882,0.0,0.0,0.08175431275135969,0.0,0.0,0.2311118221415057,0.0,0.0,0.0015697897186203037,0.0,0.0
06001422200,3280.0,404.0,682.0,0.01275642852700546,0.0,0.0,0.0827594789957442,0.0,0.0,0.23977598988449758,0.0,0.0,0.0015926232938320425,0.0,0.0
06001422300,3567.0,696.0,493.0,0.012772078749879122,0.0,0.0,0.08380440651492145,0.0,0.0,0.24332938737024873,0.0,0.0,0.0015916415075743003,0.0,0.0
06001422400,4187.0,482.0,179.0,0.012777745026246389,0.0,0.0,0.08458419750721462,0.0,0.0,0.2422274264021102,0.0,0.0,0.0015726950813575525,0.0,0.0
06001422500,4467.0,393.0,178.0,0.01277226417424108,0.0,0.0,0.08533097668693942,0.0,0.0,0.23379804119656092,0.0,0.0,0.0015280981875384631,0.0,0.0
06001422700,4803.0,132.0,124.0,0.012840535921692956,0.0,0.0,0.085797432867514,0.0,0.0,0.23529836721172165,0.0,0.0,0.0016078434171251613,0.0,0.0
06001422800,8980.0,85.0,247.0,0.012851111226689036,0.0,0.0,0.08511985656460357,0.0,0.0,0.24851819038978068,0.0,0.0,0.0016384337172277365,0.0,0.0
06001422901,2024.0,147.0,46.0,0.012853689404811573,0.0,0.0,0.08448228518540965,0.0,0.0,0.2540603665112222,0.0,0.0,0.0016510335341787276,0.0,0.0
06001422902,3022.0,67.0,204.0,0.012827260728979053,0.0,0.0,0.08441361453277253,0.0,0.0,0.2512115905180887,0.0,0.0,0.0016234126111388109,0.0,0.0
06001423000,4549.0,611.0,471.0,0.012831228598891926,0.0,0.0,0.08367415640156806,0.0,0.0,0.2514557366906427,0.0,0.0,0.0016358195663021525,0.0,0.0
06001423100,4275.0,881.0,749.0,0.012818396988108305,0.0,0.0,0.08270260906279837,0.0,0.0,0.24609389904652323,0.0,0.0,0.0016256695567987418,0.0,0.0
06001423200,3003.0,293.0,493.0,0.01280422276025519,0.0,0.0,0.08182728952331378,0.0,0.0,0.23732196567928235,0.0,0.0,0.0016040423750221795,0.0,0.0
06001423300,3476.0,600.0,710.0,0.01288606843995845,0.0,0.0,0.08279215717754226,0.0,0.0,0.2503230129963076,0.0,0.0,0.0016764826074532283,0.0,0.0
06001423400,5551.0,641.0,788.0,0.0128968209295395,0.0,0.0,0.0835878798853163,0.0,0.0,0.25625084430682266,0.0,0.0,0.0016994934173948063,0.0,0.0
06001423500,3540.0,675.0,506.0,0.012901822020504375,0.0,0.0,0.08428090671247651,0.0,0.0,0.25768216304398084,0.0,0.0,0.00170845466803255,0.0,0.0
06001423601,2738.0,687.0,293.0,0.01291198340920238,0.0,0.0,0.08496853091612953,0.0,0.0,0.25416160455180686,0.0,0.0,0.0017272978670476618,0.0,0.0
06001423602,7198.0,711.0,334.0,0.012880400555635836,0.0,0.0,0.08502938032308598,0.0,0.0,0.25159490271972124,0.0,0.0,0.0016772177517324373,0.0,0.0
06001423700,3606.0,560.0,550.0,0.01288856333091457,0.0,0.0,0.08567007603682077,0.0,0.0,0.24219217532793297,0.0,0.0,0.001692177711387417,0.0,0.0
06001423800,3425.0,897.0,540.0,0.012931725268991107,0.0,0.0,0.08610886985744835,0.0,0.0,0.24101719703608593,0.0,0.0,0.0017876076504346572,0.0,0.0
